Number of frames: 2750
Frequency: 250
Units: mm

Frame,finger x,finger y,finger z,wrist x,wrist y,wrist z
120,276.200286865,-193.690368652,110.839683533,335.978027344,-289.635223389,218.670852661,
121,276.063842773,-192.799118042,108.357559204,335.392791748,-288.865356445,216.599365234,
122,275.910461426,-191.917694092,105.901283264,334.783020020,-288.108062744,214.512985229,
123,275.745361328,-191.039077759,103.477462769,334.184173584,-287.359161377,212.412124634,
124,275.567321777,-190.161254883,101.080963135,333.603759766,-286.624237061,210.294342041,
125,275.388397217,-189.285934448,98.705650330,333.001800537,-285.907470703,208.166259766,
126,275.222503662,-188.407165527,96.359779358,332.396667480,-285.222503662,206.024627686,
127,275.070495605,-187.523147583,94.042259216,331.792449951,-284.559814453,203.886199951,
128,274.869995117,-186.634384155,91.742851257,331.193756104,-283.916900635,201.748306274,
129,274.680267334,-185.743362427,89.472579956,330.567352295,-283.298522949,199.614852905,
130,274.510375977,-184.845626831,87.227233887,329.951416016,-282.701141357,197.494979858,
131,274.339752197,-183.943603516,85.023490906,329.348266602,-282.122680664,195.394409180,
132,274.180084229,-183.035186768,82.849601746,328.727661133,-281.553253174,193.312164307,
133,274.033721924,-182.130599976,80.714286804,328.157592773,-280.997650146,191.255294800,
134,273.908782959,-181.221298218,78.627929688,327.560180664,-280.443725586,189.233535767,
135,273.794128418,-180.328414917,76.587387085,326.963348389,-279.888214111,187.249954224,
136,273.701171875,-179.449157715,74.604362488,326.400726318,-279.345245361,185.303146362,
137,273.615112305,-178.586944580,72.685844421,325.847412109,-278.797393799,183.396148682,
138,273.519134521,-177.745132446,70.815864563,325.275634766,-278.248229980,181.533538818,
139,273.430328369,-176.930801392,69.010871887,324.728851318,-277.702819824,179.715179443,
140,273.314025879,-176.144027710,67.260040283,324.200042725,-277.151641846,177.933959961,
141,273.184417725,-175.382507324,65.569824219,323.648651123,-276.604614258,176.203613281,
142,273.033508301,-174.636779785,63.945514679,323.132232666,-276.057159424,174.511749268,
143,272.871307373,-173.902709961,62.379283905,322.639801025,-275.512786865,172.863967896,
144,272.703735352,-173.171981812,60.868297577,322.174957275,-274.970550537,171.261566162,
