,time,x
268,1.072,-18.24981689499998
269,1.076,-18.263015747999987
270,1.08,-18.29283142099999
271,1.084,-18.32083129899999
272,1.088,-18.347930908999984
273,1.092,-18.368881225999985
274,1.096,-18.377853394
275,1.1,-18.388519287999998
276,1.104,-18.409286500000007
277,1.108,-18.417694092000005
278,1.112,-18.430953979999998
279,1.116,-18.429443359999993
280,1.12,-18.452194214000002
281,1.124,-18.443466186999984
282,1.128,-18.430999756000006
283,1.132,-18.440063476999995
284,1.136,-18.43946838400001
285,1.14,-18.438400269
286,1.144,-18.416076661000005
287,1.148,-18.403259278000007
288,1.152,-18.405334472999982
289,1.156,-18.400772095000008
290,1.16,-18.389495850000003
291,1.164,-18.391387939999987
292,1.168,-18.385192872000005
293,1.172,-18.373672486000004
294,1.176,-18.375396728999988
295,1.18,-18.380966186999984
296,1.184,-18.36558532800001
297,1.188,-18.368820190999998
298,1.192,-18.358062744999984
299,1.196,-18.350509644
300,1.2,-18.363647461
301,1.204,-18.362304687999995
302,1.208,-18.369766236000004
303,1.212,-18.373977661999987
304,1.216,-18.380752564000005
305,1.22,-18.390792847
306,1.224,-18.41780090399999
307,1.228,-18.419143676999994
308,1.232,-18.428161622000005
309,1.236,-18.441772461
310,1.24,-18.465515136999983
311,1.244,-18.502853394
312,1.248,-18.563461303999986
313,1.252,-18.696075439999987
314,1.256,-18.857879639000004
315,1.26,-19.082366944
316,1.264,-19.345184327
317,1.268,-19.656585694
318,1.272,-19.996429444
319,1.276,-20.377975464000002
320,1.28,-20.780593872999987
321,1.284,-21.182403564999987
322,1.288,-21.647583007999998
323,1.292,-22.125946045000006
324,1.296,-22.622253417999985
325,1.3,-23.162322998999997
326,1.304,-23.73033142099999
327,1.308,-24.354339600000003
328,1.312,-25.028717041999982
329,1.316,-25.734649658999984
330,1.32,-26.495254517000006
331,1.324,-27.282287597999982
332,1.328,-28.080535889000004
333,1.332,-28.961807250999982
334,1.336,-29.816009522
335,1.34,-30.773391723999993
336,1.344,-31.778656006000006
337,1.348,-32.86968994200001
338,1.352,-34.08930969299999
339,1.356,-35.48614501999998
340,1.36,-37.04275512699999
341,1.364,-38.577270508
342,1.368,-40.08967590399999
343,1.372,-41.59886169499998
344,1.376,-43.11004638699998
345,1.38,-44.67308044499998
346,1.384,-46.20562744200001
347,1.388,-47.766616822
348,1.392,-49.317031861000004
349,1.396,-50.86291503999999
350,1.4,-52.39146423399998
351,1.404,-53.917770386
352,1.408,-55.454559327
353,1.412,-56.98753356999998
354,1.416,-58.53498840399999
355,1.42,-60.07315063499999
356,1.424,-61.645156861000004
357,1.428,-63.19815063499999
358,1.432,-64.727386475
359,1.436,-66.25430297899999
360,1.44,-67.7684021
361,1.444,-69.25114441
362,1.448,-70.700897217
363,1.452,-72.116744996
364,1.456,-73.50181579599999
365,1.46,-74.808929444
